imb_id;imb_longitude;imb_latitude;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
4225135;634886.9103049804;5648296.807472699;IMB/38185/C/03XA;38185;16;fo;imm;38185_0200_00033;;33;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
4294872;634875.733424889;5648167.909266222;IMB/38185/C/03XF;38185;16;fo;imm;38185_0200_00043;;43;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
5048051;634836.1319579954;5648667.204823671;IMB/38185/C/03WO;38185;16;fo;imm;38185_0200_00003;;3;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
5150606;634837.4458280379;5648333.047170475;IMB/38185/C/03X7;38185;16;fo;imm;38185_0200_00027;;27;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
7274950;634884.9147028844;5648249.97401973;IMB/38185/C/03XC;38185;17;fo;imm;38185_0200_00037;;37;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
7924895;634830.9358998799;5648512.460328099;IMB/38185/C/03WY;38185;17;fo;imm;38185_0200_00013;;13;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
8509407;634882.4809763248;5648193.212211566;IMB/38185/C/03XE;38185;16;fo;imm;38185_0200_00041;;41;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
144276;637984.8181169771;5650183.4914980745;IMB/38185/X/02P7;38185;1;fo;imm;38185_0210_00019;central plazza;19;;Avenue Albert 1er de Belgique;NA;38185;Grenoble;38185_0210;ban
247261;638290.0604617125;5650195.854502294;IMB/38185/C/05J4;38185;18;fo;imm;38185_0210_00003;;3;;Avenue Albert 1er de Belgique;NA;38185;Grenoble;38185_0210;ban
1654949;637760.8848948415;5650183.237862632;IMB/38185/C/0014;38185;26;fo;imm;38185_0210_00037;;37;;Avenue Albert 1er de Belgique;NA;38185;Grenoble;38185_0210;ban
2826286;638212.9213885216;5650199.374410665;ID-381850000064;38185;12;fo;imm;38185_0210_00007;;7;;Avenue Albert 1er de Belgique;NA;38185;Grenoble;38185_0210;ban
3694849;638116.0162876162;5650169.274266512;IMB/38185/C/02VF;38185;1;fo;imm;38185_0210_00013;;13;;Avenue Albert 1er de Belgique;NA;38185;Grenoble;38185_0210;ban
