,imb_id,rank,addr_code_x,imb_code_x,code_techno,classe_debit_montant,classe_debit_descendant,imb_longitude,imb_latitude,imb_code_y,imb_code_insee,imb_nbr_logloc,imb_source,imb_type,addr_code_y,imb_num,addr_numero,addr_rep,addr_nom_voie,addr_nom_ld,addr_code_insee,addr_nom_commune,addr_id_fantoir,addr_source,debit_Mbits
849841,4822369,7.0,38185_4340_00022_a,IMB/38185/X/03K4,COAX,THD30,THD1G,639019.5092143554,5650185.500030032,IMB/38185/X/03K4,38185,1,fo,imm,38185_4340_00022_a,v1,22.0,a,Rue Léon Jouhaux,,38185,Grenoble,38185_4340,ban,1000.0
849854,4822483,7.0,38185_4640_00008,IMB/38185/C/06PW,COAX,THD30,THD1G,638312.6662208315,5650029.915119006,IMB/38185/C/06PW,38185,5,fo,imm,38185_4640_00008,,8.0,,Rue Mallifaud,,38185,Grenoble,38185_4640,ban,1000.0
849874,4822768,7.0,38185_4800_00019,IMB/38185/C/00U6,FO,THD100,THD1G,637236.361042038,5650048.117975549,IMB/38185/C/00U6,38185,20,fo,imm,38185_4800_00019,,19.0,,Boulevard Maréchal Foch,,38185,Grenoble,38185_4800,ban,1000.0
849875,4822782,7.0,38185_6880_00047,IMB/38185/C/060S,COAX,THD30,THD1G,639667.1207052555,5650445.991762605,IMB/38185/C/060S,38185,17,fo,imm,38185_6880_00047,,47.0,,Chemin Villebois,,38185,Grenoble,38185_6880,ban,1000.0
849898,4823281,4.0,38185_4936_00003,IMB/38185/X/02Y0,SAT,HD3,BHD8,637186.7871128339,5652093.87225606,IMB/38185/X/02Y0,38185,0,fo,imm,38185_4936_00003,2,3.0,,Rue Maurice Gignoux,,38185,Grenoble,38185_4936,ban,15.5
850285,4824598,7.0,38185_0050_00051,IMB/38185/C/03TY,COAX,THD30,THD1G,635868.4710822813,5650637.5965372855,IMB/38185/C/03TY,38185,3,fo,imm,38185_0050_00051,,51.0,,Rue Abbé Grégoire,,38185,Grenoble,38185_0050,ban,1000.0
850422,4824928,4.0,38185_6210_00008,IMB/38185/C/01JP,CU,HD05,BHD8,637627.3225782117,5651460.394154184,IMB/38185/C/01JP,38185,10,fo,imm,38185_6210_00008,,8.0,,Rue Saint Jacques,,38185,Grenoble,38185_6210,ban,15.5
850552,4825323,7.0,38185_3960_00053,IMB/38185/S/04Y5,COAX,THD30,THD1G,635490.2758254578,5649483.613158263,IMB/38185/S/04Y5,38185,1,fo,pav,38185_3960_00053,,53.0,,Rue Joseph Bouchayer,,38185,Grenoble,38185_3960,ban,1000.0
850562,4825366,7.0,38185_0430_00007_bis,IMB/38185/S/0426,COAX,THD30,THD1G,635981.3599089397,5648971.923652615,IMB/38185/S/0426,38185,14,fo,pav,38185_0430_00007_bis,,7.0,bis,Rue Anatole France,,38185,Grenoble,38185_0430,ban,1000.0
850744,4825812,7.0,38185_1350_00002,IMB/38185/C/02JD,COAX,THD30,THD1G,637031.500199671,5650822.024933916,IMB/38185/C/02JD,38185,18,fo,imm,38185_1350_00002,,2.0,,Place Championnet,,38185,Grenoble,38185_1350,ban,1000.0
850759,4825850,7.0,38185_fuo40k_00017,IMB/38185/C/0243,FO,THD100,THD1G,637411.4105334864,5646901.366260052,IMB/38185/C/0243,38185,18,fo,imm,38185_fuo40k_00017,,17.0,,Rue Giusto Gervasutti,,38185,Grenoble,,ban,1000.0
850782,4825916,7.0,38185_3620_00032,IMB/38185/C/07EJ,COAX,THD30,THD1G,636743.9952182693,5648911.984716546,IMB/38185/C/07EJ,38185,10,fo,imm,38185_3620_00032,,32.0,,Rue Honoré de Balzac,,38185,Grenoble,38185_3620,ban,1000.0
850813,4826017,7.0,38185_6523_00003,IMB/38185/C/02IT,FO,THD100,THD1G,637604.8249811538,5647873.869321211,IMB/38185/C/02IT,38185,20,fo,imm,38185_6523_00003,,3.0,,Allée de la Sylphide,,38185,Grenoble,38185_6523,ban,1000.0
850901,4826218,7.0,38185_3660_00027_bis,IMB/38185/S/05HH,COAX,THD30,THD1G,635456.5726780054,5650153.369823482,IMB/38185/S/05HH,38185,1,fo,pav,38185_3660_00027_bis,,27.0,bis,Traverse des Iles,,38185,Grenoble,38185_3660,ban,1000.0
850950,4826384,5.0,38185_2070_00004,IMB/38185/C/00G5,COAX,HD05,THD30,636948.1381484689,5650234.0622309735,IMB/38185/C/00G5,38185,5,fo,imm,38185_2070_00004,,4.0,,Rue Desaix,,38185,Grenoble,38185_2070,ban,60.0
850987,4826511,7.0,38185_6950_00036,IMB/38185/S/05S6,COAX,THD30,THD1G,639722.1452501703,5649916.032745723,IMB/38185/S/05S6,38185,4,fo,pav,38185_6950_00036,,36.0,,Avenue Washington,,38185,Grenoble,38185_6950,ban,1000.0
851014,4826582,7.0,38185_5980_00009,IMB/38185/C/017A,COAX,THD30,THD1G,637749.3887285816,5651595.909323215,IMB/38185/C/017A,38185,3,fo,imm,38185_5980_00009,,9.0,,Rue de la République,,38185,Grenoble,38185_5980,ban,1000.0
851015,4826585,7.0,38185_5598_00002,IMB/38185/C/01R3,COAX,THD30,THD1G,638602.8880757169,5647033.087200197,IMB/38185/C/01R3,38185,46,fo,imm,38185_5598_00002,,2.0,,Allée de la Pelouse,,38185,Grenoble,38185_5598,ban,1000.0
851044,4826665,7.0,38185_4485_00015,IMB/38185/C/02IE,FO,THD100,THD1G,637414.064704018,5647589.268531306,IMB/38185/C/02IE,38185,19,fo,imm,38185_4485_00015,,15.0,,Rue Lorenzaccio,,38185,Grenoble,38185_4485,ban,1000.0
851208,4827156,7.0,38185_4380_00027,IMB/38185/C/03OL,COAX,THD30,THD1G,636309.0978830132,5649576.288400187,IMB/38185/C/03OL,38185,18,fo,imm,38185_4380_00027,,27.0,,Cours de la Libération et du Général de Gaulle,,38185,Grenoble,38185_4380,ban,1000.0
851210,4827157,7.0,38185_4380_00137,IMB/38185/C/03QI,COAX,THD30,THD1G,635961.9269055193,5648121.143570741,IMB/38185/C/03QI,38185,26,fo,imm,38185_4380_00137,,137.0,,Cours de la Libération et du Général de Gaulle,,38185,Grenoble,38185_4380,ban,1000.0
852037,4833736,7.0,38185_5790_00005,IMB/38185/C/01AE,FO,THD100,THD1G,637980.3533624752,5652120.667484684,IMB/38185/C/01AE,38185,7,fo,imm,38185_5790_00005,,5.0,,Rue du Pont Saint Jaime,,38185,Grenoble,38185_5790,ban,1000.0
852038,4833802,7.0,38185_0760_00015,IMB/38185/C/044S,COAX,THD30,THD1G,635686.4516208565,5648934.870766819,IMB/38185/C/044S,38185,12,fo,imm,38185_0760_00015,,15.0,,Rue Barral de Montferrat,,38185,Grenoble,38185_0760,ban,1000.0
852935,4836950,6.0,38185_4360_00004,IMB/38185/S/06OK,COAX,HD3,THD100,638681.3615741712,5649476.420317801,IMB/38185/S/06OK,38185,1,fo,pav,38185_4360_00004,,4.0,,Rue Leroy,,38185,Grenoble,38185_4360,ban,550.0
852949,4838125,4.0,38185_2590_00054,IMB/38185/C/038L,SAT,HD3,BHD8,636487.5976274079,5652747.084822248,IMB/38185/C/038L,38185,3,fo,imm,38185_2590_00054,,54.0,,Boulevard de l'Esplanade,,38185,Grenoble,38185_2590,ban,15.5
853256,4840351,7.0,38185_4430_00012,IMB/38185/C/04ZP,FO,THD100,THD1G,635167.7109012565,5650325.077764207,IMB/38185/C/04ZP,38185,12,fo,imm,38185_4430_00012,,12.0,,Rue Lindbergh,,38185,Grenoble,38185_4430,ban,1000.0
853257,4840504,6.0,38185_3970_00019,IMB/38185/C/05YZ,COAX,HD3,THD100,639538.6480537507,5650982.031516234,IMB/38185/C/05YZ,38185,4,fo,imm,38185_3970_00019,,19.0,,Chemin Joseph Brun,,38185,Grenoble,38185_3970,ban,550.0
854429,4842698,7.0,38185_4610_00017,IMB/38185/C/06CM,COAX,THD30,THD1G,638679.9471716066,5653057.534168821,IMB/38185/C/06CM,38185,12,fo,imm,38185_4610_00017,,17.0,,Rue de la Magnanerie,,38185,Grenoble,38185_4610,ban,1000.0
854443,4842937,7.0,38185_3104_00030,IMB/38185/S/04RD,FO,THD100,THD1G,636215.3359633787,5648479.852683892,IMB/38185/S/04RD,38185,1,fo,pav,38185_3104_00030,,30.0,,Rue Général Garibaldi,,38185,Grenoble,38185_3104,ban,1000.0
854450,4843180,7.0,38185_0640_00003,IMB/38185/X/02UC,FO,THD100,THD1G,636855.9376839908,5650397.314381231,IMB/38185/X/02UC,38185,1,fo,pav,38185_0640_00003,espace convivi ages,3.0,,Rue Augereau,,38185,Grenoble,38185_0640,ban,1000.0
858685,4873038,7.0,38185_6740_00011_bis,IMB/38185/C/05K1,COAX,THD30,THD1G,639557.3621179163,5650922.906490617,IMB/38185/C/05K1,38185,16,fo,imm,38185_6740_00011_bis,,11.0,bis,Avenue de Valmy,,38185,Grenoble,38185_6740,ban,1000.0
858692,4873096,7.0,38185_1607_00003,IMB/38185/C/008T,COAX,THD30,THD1G,636664.5991209327,5651850.487171677,IMB/38185/C/008T,38185,20,fo,imm,38185_1607_00003,,3.0,,Quai Claude Bernard,,38185,Grenoble,38185_1607,ban,1000.0
