;dpt;techno_maj;débit_maj;pourcentage_bas_debit;imb_latitude;imb_longitude
3586;;SAT;BHD8;0;5649179.44914209;638742.2514256382
3587;;SAT;BHD8;0;5649511.1886388175;638535.4845290903
3588;;SAT;BHD8;0;5648194.958275621;639083.7575907585
3589;;SAT;BHD8;0;5648999.403242952;638795.4109649243
3590;;SAT;BHD8;0;5650470.89418275;636337.5397654846
3591;;SAT;BHD8;0;5650507.127747764;636354.6803875294
3592;;SAT;BHD8;0;5650633.402962546;636229.69985662
3593;;SAT;BHD8;0;5650614.75673681;636233.1591432979
3594;;SAT;BHD8;0;5650359.607283347;636412.1329038268
3595;;SAT;BHD8;0;5650741.66179457;636126.6196327553
3596;;SAT;BHD8;0;5650747.834601202;636148.1470849322
3597;;SAT;BHD8;0;5650564.507905326;636310.3729147727
3598;;SAT;BHD8;0;5650494.053218228;636361.2093796171
3599;;SAT;BHD8;0;5650732.988338319;636195.7016707616
3600;;SAT;BHD8;0;5650692.126782781;636186.869388556
3601;;SAT;BHD8;0;5650797.459466574;636151.6917981121
3602;;SAT;BHD8;0;5650575.217925092;636259.8128312993
3603;;SAT;BHD8;0;5650445.210959842;636382.0262728393
3604;;SAT;BHD8;0;5650624.526707618;636270.4241328579
3605;;SAT;BHD8;0;5650551.355991711;636318.317554394
3606;;SAT;BHD8;0;5650541.123444983;636324.9582889897
3607;;SAT;BHD8;0;5650716.94579835;636204.9373901914
3608;;SAT;BHD8;0;5650687.639739335;636224.9364026389
3609;;SAT;BHD8;0;5646996.858792506;635165.7425609655
3610;;SAT;BHD8;0;5646984.802112012;635214.8052936547
3611;;SAT;BHD8;0;5646864.415324222;635270.5848482682
3612;;SAT;BHD8;0;5646963.51394871;635412.245444406
3613;;SAT;BHD8;0;5650064.405104717;635937.4601931607
3614;;SAT;BHD8;0;5650129.654796499;636006.8574791686
3615;;SAT;BHD8;0;5650110.723290103;636017.3836400688
3616;;SAT;BHD8;0;5650065.258942028;635917.6500631804
3617;;SAT;BHD8;0;5650103.373253957;635890.9477094205
3618;;SAT;BHD8;0;5650066.1610830575;635896.4376551042
3619;;SAT;BHD8;0;5650111.680167539;635830.3523840324
3620;;SAT;BHD8;0;5650991.2024361575;639262.6567177591
3621;;SAT;BHD8;0;5650601.046781767;639339.3441201954
